,Unnamed: 0_x,run,agentID,suspect,victim,thief,DNAatCS,locCS,statement,experiment_name,runs,Unnamed: 0_y,at_least_1_cs_witness,at_least_1_alibi_witness
0,0,0,0,1,0,1,1,0,0,thief,10,0,0,0
1,1,0,1,0,0,0,1,0,0,thief,10,1,0,0
2,2,0,2,0,0,0,0,0,0,thief,10,2,0,0
3,3,0,3,0,0,0,1,0,0,thief,10,3,0,0
4,4,0,4,0,0,0,0,0,0,thief,10,4,0,0
5,5,0,5,0,0,0,0,0,0,thief,10,5,0,0
6,6,0,6,0,0,0,0,0,0,thief,10,6,0,0
7,7,0,7,0,0,0,0,0,0,thief,10,7,0,0
8,8,0,8,0,0,0,1,0,0,thief,10,8,0,0
9,9,0,9,0,0,0,0,0,0,thief,10,9,0,0
10,0,1,0,1,0,1,1,1,1,thief,10,10,0,0
11,1,1,1,0,0,0,0,0,0,thief,10,11,0,0
12,2,1,2,0,0,0,1,0,0,thief,10,12,0,0
13,3,1,3,0,0,0,0,0,0,thief,10,13,0,0
14,4,1,4,0,0,0,1,0,0,thief,10,14,0,0
15,5,1,5,0,1,0,1,1,1,thief,10,15,1,0
16,6,1,6,0,0,0,0,0,0,thief,10,16,0,0
17,7,1,7,0,0,0,0,0,0,thief,10,17,0,0
18,8,1,8,0,0,0,1,0,0,thief,10,18,0,0
19,9,1,9,0,0,0,0,0,0,thief,10,19,0,0
20,0,2,0,1,0,1,1,1,1,thief,10,20,1,0
21,1,2,1,0,0,0,0,0,0,thief,10,21,0,1
22,2,2,2,0,0,0,0,0,0,thief,10,22,0,0
23,3,2,3,0,0,0,0,0,0,thief,10,23,1,0
24,4,2,4,0,0,0,0,1,1,thief,10,24,1,0
25,5,2,5,0,0,0,0,0,0,thief,10,25,0,0
26,6,2,6,0,1,0,0,1,1,thief,10,26,1,0
27,7,2,7,0,0,0,0,0,0,thief,10,27,0,0
28,8,2,8,0,0,0,1,0,0,thief,10,28,0,0
29,9,2,9,0,0,0,0,0,0,thief,10,29,0,1
30,0,3,0,1,0,1,1,1,1,thief,10,30,1,0
31,1,3,1,0,0,0,1,0,0,thief,10,31,0,1
32,2,3,2,0,0,0,0,0,0,thief,10,32,0,0
33,3,3,3,0,0,0,0,0,0,thief,10,33,1,0
34,4,3,4,0,0,0,0,1,1,thief,10,34,1,0
35,5,3,5,0,0,0,0,0,0,thief,10,35,0,0
36,6,3,6,0,0,0,0,0,0,thief,10,36,0,0
37,7,3,7,0,0,0,0,0,0,thief,10,37,0,0
38,8,3,8,0,1,0,1,1,1,thief,10,38,1,0
39,9,3,9,0,0,0,0,1,1,thief,10,39,1,0
40,0,4,0,1,0,1,1,0,0,thief,10,40,0,0
41,1,4,1,0,0,0,0,0,0,thief,10,41,0,0
42,2,4,2,0,0,0,1,0,0,thief,10,42,0,0
43,3,4,3,0,0,0,1,0,0,thief,10,43,0,0
44,4,4,4,0,0,0,0,0,0,thief,10,44,0,0
45,5,4,5,0,0,0,0,0,0,thief,10,45,0,0
46,6,4,6,0,0,0,0,0,0,thief,10,46,0,0
47,7,4,7,0,0,0,0,0,0,thief,10,47,0,0
48,8,4,8,0,0,0,0,0,0,thief,10,48,0,0
49,9,4,9,0,0,0,0,0,0,thief,10,49,0,0
50,0,5,0,1,0,1,1,1,1,thief,10,50,1,0
51,1,5,1,0,0,0,1,0,0,thief,10,51,0,0
52,2,5,2,0,0,0,0,0,0,thief,10,52,0,0
53,3,5,3,0,1,0,1,1,1,thief,10,53,1,0
54,4,5,4,0,0,0,1,0,0,thief,10,54,0,0
55,5,5,5,0,0,0,1,0,0,thief,10,55,0,0
56,6,5,6,0,0,0,1,0,0,thief,10,56,0,0
57,7,5,7,0,0,0,0,0,0,thief,10,57,0,0
58,8,5,8,0,0,0,0,0,0,thief,10,58,0,0
