,run,agentID,suspect,victim,thief,DNAatCS,locCS,statement,experiment_name,runs
0,0,0,1,0,1,1,1,1,thief,200
1,0,1,0,0,0,0,0,0,thief,200
2,0,2,0,0,0,0,0,0,thief,200
3,0,3,0,1,0,0,1,1,thief,200
4,0,4,0,0,0,0,0,0,thief,200
5,0,5,0,0,0,0,0,0,thief,200
6,0,6,0,0,0,0,0,0,thief,200
7,0,7,0,0,0,0,0,0,thief,200
8,0,8,0,0,0,0,0,0,thief,200
9,0,9,0,0,0,0,0,0,thief,200
0,1,0,1,0,1,1,1,1,thief,200
1,1,1,0,0,0,0,0,0,thief,200
2,1,2,0,0,0,0,0,0,thief,200
3,1,3,0,0,0,1,0,0,thief,200
4,1,4,0,0,0,0,0,0,thief,200
5,1,5,0,0,0,0,0,0,thief,200
6,1,6,0,0,0,0,0,0,thief,200
7,1,7,0,1,0,0,1,1,thief,200
8,1,8,0,0,0,1,0,0,thief,200
9,1,9,0,0,0,0,0,0,thief,200
0,2,0,1,0,1,0,1,1,thief,200
1,2,1,0,0,0,0,1,1,thief,200
2,2,2,0,0,0,0,0,0,thief,200
3,2,3,0,0,0,0,0,0,thief,200
4,2,4,0,0,0,0,0,0,thief,200
5,2,5,0,0,0,0,0,0,thief,200
6,2,6,0,0,0,0,0,0,thief,200
7,2,7,0,0,0,1,1,1,thief,200
8,2,8,0,0,0,0,0,0,thief,200
9,2,9,0,1,0,0,1,1,thief,200
0,3,0,1,0,1,1,1,1,thief,200
1,3,1,0,0,0,1,0,0,thief,200
2,3,2,0,0,0,0,0,0,thief,200
3,3,3,0,0,0,0,0,0,thief,200
4,3,4,0,0,0,0,0,0,thief,200
5,3,5,0,0,0,0,0,0,thief,200
6,3,6,0,1,0,0,1,1,thief,200
7,3,7,0,0,0,0,0,0,thief,200
8,3,8,0,0,0,0,1,1,thief,200
9,3,9,0,0,0,0,0,0,thief,200
0,4,0,1,0,1,1,1,1,thief,200
1,4,1,0,0,0,0,0,0,thief,200
2,4,2,0,0,0,0,0,0,thief,200
3,4,3,0,0,0,0,0,0,thief,200
4,4,4,0,1,0,0,1,1,thief,200
5,4,5,0,0,0,0,0,0,thief,200
6,4,6,0,0,0,0,0,0,thief,200
7,4,7,0,0,0,0,0,0,thief,200
8,4,8,0,0,0,0,0,0,thief,200
9,4,9,0,0,0,1,0,0,thief,200
0,5,0,1,0,1,1,0,0,thief,200
1,5,1,0,0,0,1,0,0,thief,200
2,5,2,0,0,0,1,0,0,thief,200
3,5,3,0,0,0,0,0,0,thief,200
4,5,4,0,0,0,1,0,0,thief,200
5,5,5,0,0,0,1,0,0,thief,200
6,5,6,0,0,0,0,0,0,thief,200
7,5,7,0,0,0,0,0,0,thief,200
